tokenID,name,description,file_name,external_url,attributes[Background],attributes[Base],attributes[Cloth],attributes[Face],attributes[Hair],attributes[Mouth],attributes[Tattoo],attributes[Facemask]
1,ZENK 1,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-1.png,,Deep blue,Zen vessel,Bloodstain tank,Determined blue eyes,Short Afro – Indigo,Calm,,
2,ZENK 2,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-2.png,,Forest zen,Earth vessel ,Dark read cloak,Focused Ocean eyes,Short Afro – Black,Clown 2,,
3,ZENK 3,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-3.png,,Iron balance ,Zen vessel,Sage Tee,Neutral face 1,Short Fringe – Caramel,Neutral 3,,
4,ZENK 4,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-4.png,,Zen sand,Bronze vessel ,Rescue jacket ,Rinnegan,Top Knot Flow – Neon Pink,Fangs out,,
5,ZENK 5,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-5.png,,Zen rift,Shadow vessel 2,Dark blue kimono,Closed eyes 2,Short Afro – Black,Neutral,,
6,ZENK 6,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-6.png,,Temple sand,Tan vessel ,Jade hanfu,Sharp eyes 4,Aqua sweep,Nosemask 1,,
7,ZENK 7,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-7.png,,Golden calm,Tan vessel ,Shinobi vest,Focused,,Sad Mouth ,,
8,ZENK 8,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-8.png,,Ancient earth,Shadow vessel 2,Ocean track jacket ,Focused Ocean eyes,Spiked Shag – Ivory White,Clown 1,Red tattoo ,
9,ZENK 9,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-9.png,,Forest zen,Zen vessel,Red turtleneck ,Sharp eyes 4,Zen Bob – Shadow Black,Smirk,,Glasses
10,ZENK 10,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-10.png,,Iron balance ,Tan vessel ,Shadow hoodie,Glowing eyes,Spiked Shag – Golden Blonde,Nosemask 1,,
11,ZENK 11,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-11.png,,Sakura pink,Earth vessel ,Blaze jacket,Neutral face 1,Top Knot Flow – Neon Pink,Smiling,,
12,ZENK 12,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-12.png,,Iron balance ,Bronze vessel ,Snow petals kimono,Calm eyes Ocean ,,Smirk,,
13,ZENK 13,"ZENKAI is a collection of 3,333 unique characters on Ethereum, inspired by the idea of evolution through adversity. Each holder represents a different stage of awakening, where strength is forged through challenge and growth. Built around a community-first approach, ZENKAI rewards early supporters and encourages organic participation through interactive systems like the Awakening Portal. As the community grows, so does the evolution.",zenk-13.png,,Iron balance ,Earth vessel ,Golden bomber,Focused,Shadow cross Fringe ,Neutral,,
